"num","title","link","tag1","tag2","tag3","tag4","discount_original_price","discount_final_price","discount_pct","recent_review","all_review","release_date","developer","publisher"
"93","Trine 2: Complete Story","https://store.steampowered.com/app/35720/Trine_2_Complete_Story/?snr=1_1452_1600__104_9","Platformer"," Adventure"," Puzzle"," Co-op","21,000 원","3,150 원","-85%","Very Positive (63)","Overwhelmingly Positive (10,970)","7 Jun, 2013","Frozenbyte","Frozenbyte"
"94","Plague Inc: Evolved","https://store.steampowered.com/app/246620/Plague_Inc_Evolved/?snr=1_1452_1600__104_9","Strategy"," Simulation"," Indie"," Singleplayer","16,000 원","16,000 원","0%","Very Positive (145)","Very Positive (17,760)","19 Feb, 2016","Ndemic Creations","Ndemic Creations"
"95","The Witness","https://store.steampowered.com/app/210970/The_Witness/?snr=1_1452_1600__104_9","Puzzle"," Exploration"," First-Person"," Open World","43,000 원","43,000 원","0%","Very Positive (38)","Very Positive (5,609)","26 Jan, 2016","Thekla, Inc.","Thekla, Inc."
"96","Warhammer 40,000: Mechanicus","https://store.steampowered.com/app/673880/Warhammer_40000_Mechanicus/?snr=1_1452_1600__104_10","Strategy"," Warhammer 40K"," Turn-Based Tactics"," Turn-Based","32,000 원","28,800 원","-10%","No review","No user reviews","16 Nov, 2018","Bulwark Studios","Kasedo Games"
"97","Papers, Please","https://store.steampowered.com/app/239030/Papers_Please/?snr=1_1452_1600__104_10","Indie"," Political"," Simulation"," Point & Click","10,500 원","10,500 원","0%","Very Positive (126)","Overwhelmingly Positive (21,751)","9 Aug, 2013","Lucas Pope","Lucas Pope"
"98","Wizard of Legend","https://store.steampowered.com/app/445980/Wizard_of_Legend/?snr=1_1452_1600__104_10","Action"," Pixel Graphics"," Rogue-like"," Adventure","16,500 원","16,500 원","0%","Very Positive (70)","Very Positive (2,870)","16 May, 2018","Contingent99","Contingent99"
"99","NARUTO SHIPPUDEN: Ultimate Ninja STORM 4","https://store.steampowered.com/app/349040/NARUTO_SHIPPUDEN_Ultimate_Ninja_STORM_4/?snr=1_1452_1600__104_10","Anime"," Fighting"," Action"," Ninja","29,800 원","29,800 원","0%","Very Positive (233)","Very Positive (15,129)","5 Feb, 2016","CyberConnect2 Co. Ltd.","CyberConnect2 Co. Ltd."
"100","Frostpunk","https://store.steampowered.com/app/323190/Frostpunk/?snr=1_1452_1600__104_10","Survival"," City Builder"," Strategy"," Building","31,000 원","31,000 원","0%","Very Positive (643)","Very Positive (14,191)","24 Apr, 2018","11 bit studios","11 bit studios"
"101","Romance of the Three Kingdoms 11 with Power Up Kit / 三國志11 with パワ?アップキット","https://store.steampowered.com/app/628070/Romance_of_the_Three_Kingdoms_11_with_Power_Up_Kit__11_with/?snr=1_1452_1600__104_10","Strategy"," Historical"," Turn-Based Strategy","No tag4","41,000 원","28,700 원","-30%","Mostly Positive (21)","Very Positive (364)","17 Jan, 2018","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
"102","Psychedelica of the Black Butterfly/검은 나비의 사이키델리카/黑蝶幻境","https://store.steampowered.com/app/865820/Psychedelica_of_the_Black_Butterfly/?snr=1_1452_1600__104_10","Adventure"," Otome"," Visual Novel","No tag4","31,000 원","27,900 원","-10%","No review","2 user reviews","15 Nov, 2018","IDEA FACTORY","INTRAGAMES CO.,LTD."
"103","Starbound","https://store.steampowered.com/app/211820/Starbound/?snr=1_1452_1600__104_10","Sandbox"," Adventure"," Survival"," Crafting","16,000 원","16,000 원","0%","Very Positive (292)","Very Positive (54,462)","23 Jul, 2016","Chucklefish","Chucklefish"
"104","Wreckfest","https://store.steampowered.com/app/228380/Wreckfest/?snr=1_1452_1600__104_10","Racing"," Destruction"," Simulation"," Physics","45,000 원","30,150 원","-33%","Mostly Positive (59)","Mostly Positive (8,010)","15 Jun, 2018","Bugbear","Bugbear"
"105","Princess Maker 5","https://store.steampowered.com/app/724250/Princess_Maker_5/?snr=1_1452_1600__104_10","Simulation"," Anime"," RPG"," Visual Novel","29,800 원","29,800 원","0%","No review","Mixed (131)","4 May, 2018","CFK Co., Ltd.","CFK Co., Ltd."
"106","Super Bunny Man","https://store.steampowered.com/app/673750/Super_Bunny_Man/?snr=1_1452_1600__104_10","Early Access"," Action"," Local Co-Op"," Indie","14,500 원","14,500 원","0%","No review","Very Positive (88)","1 Sep, 2017","Catobyte","Catobyte Ltd"
"107","Rocksmith® 2014 Edition - Remastered","https://store.steampowered.com/app/221680/Rocksmith_2014_Edition__Remastered/?snr=1_1452_1600__104_10","Music"," Education"," Simulation"," Rhythm","33,000 원","33,000 원","0%","Very Positive (40)","Very Positive (4,152)","5 Oct, 2016","Ubisoft - San Francisco","Ubisoft - San Francisco"
"108","The Legend of Heroes: Trails in the Sky SC","https://store.steampowered.com/app/251290/The_Legend_of_Heroes_Trails_in_the_Sky_SC/?snr=1_1452_1600__104_11","JRPG"," Story Rich"," RPG"," Great Soundtrack","32,000 원","32,000 원","0%","No review","Overwhelmingly Positive (964)","30 Oct, 2015","Nihon Falcom","XSEED Games"
"109","Age of Empires® III: Complete Collection","https://store.steampowered.com/app/105450/Age_of_Empires_III_Complete_Collection/?snr=1_1452_1600__104_11","Strategy"," RTS"," Base Building"," Multiplayer","43,000 원","43,000 원","0%","Very Positive (90)","Very Positive (11,725)","15 Sep, 2009","Ensemble Studios","Ensemble Studios"
"110","Insurgency","https://store.steampowered.com/app/222880/Insurgency/?snr=1_1452_1600__104_11","FPS"," Realistic"," Tactical"," Multiplayer","10,500 원","10,500 원","0%","Very Positive (812)","Very Positive (68,455)","23 Jan, 2014","New World Interactive","New World Interactive"
"111","Watch_Dogs™","https://store.steampowered.com/app/243470/Watch_Dogs/?snr=1_1452_1600__104_11","Open World"," Hacking"," Action"," Multiplayer","33,000 원","33,000 원","0%","Mostly Positive (130)","Mixed (19,698)","27 Jun, 2014","Ubisoft","Ubisoft"
"112","Viscera Cleanup Detail","https://store.steampowered.com/app/246900/Viscera_Cleanup_Detail/?snr=1_1452_1600__104_11","Simulation"," Gore"," Multiplayer"," First-Person","14,000 원","14,000 원","0%","Very Positive (38)","Very Positive (4,891)","24 Oct, 2015","RuneStorm","RuneStorm"
"113","Total War: Shogun 2 - Fall of the Samurai","https://store.steampowered.com/app/201271/Total_War_Shogun_2__Fall_of_the_Samurai/?snr=1_1452_1600__104_11","Strategy"," Historical"," RTS"," Turn-Based Strategy","32,000 원","32,000 원","0%","No review","Very Positive (95)","22 Mar, 2012","CREATIVE ASSEMBLY, Feral Interactive (Mac),","SEGA"
"114","Deathgarden™","https://store.steampowered.com/app/555440/Deathgarden/?snr=1_1452_1600__104_11","Early Access"," Action"," Multiplayer"," Violent","32,000 원","32,000 원","0%","Mixed (10)","Mixed (200)","15 Aug, 2018","Behaviour Digital Inc.","Behaviour Digital Inc."
"115","Outlast 2","https://store.steampowered.com/app/414700/Outlast_2/?snr=1_1452_1600__104_11","Horror"," Psychological Horror"," Survival Horror"," First-Person","32,000 원","32,000 원","0%","Very Positive (251)","Very Positive (9,165)","25 Apr, 2017","Red Barrels","Red Barrels"
"116",">observer_","https://store.steampowered.com/app/514900/observer/?snr=1_1452_1600__104_11","Cyberpunk"," Horror"," Psychological Horror"," Atmospheric","32,000 원","32,000 원","0%","Mostly Positive (86)","Very Positive (1,867)","16 Aug, 2017","Bloober Team SA","Bloober Team SA"
"117","Cuphead","https://store.steampowered.com/app/268910/Cuphead/?snr=1_1452_1600__104_11","Difficult"," Cartoon"," Platformer"," Great Soundtrack","21,000 원","21,000 원","0%","Very Positive (431)","Overwhelmingly Positive (31,777)","29 Sep, 2017","Studio MDHR Entertainment Inc.","Studio MDHR Entertainment Inc."
"118","Dead Cells","https://store.steampowered.com/app/588650/Dead_Cells/?snr=1_1452_1600__104_11","Rogue-like"," Pixel Graphics"," Metroidvania"," Rogue-lite","25,800 원","25,800 원","0%","Very Positive (260)","Very Positive (18,235)","7 Aug, 2018","Motion Twin","Motion Twin"
"119","A Gummy's Life","https://store.steampowered.com/app/585190/A_Gummys_Life/?snr=1_1452_1600__104_11","Indie"," Casual"," Action"," Fighting","15,500 원","15,500 원","0%","No review","Very Positive (51)","3 Oct, 2018","EP Games®","EP Games®"
"120","Dreamfall Chapters","https://store.steampowered.com/app/237850/Dreamfall_Chapters/?snr=1_1452_1600__104_12","Adventure"," Story Rich"," Female Protagonist"," Atmospheric","26,000 원","8,840 원","-66%","Mostly Positive (27)","Very Positive (2,124)","22 Jul, 2017","Red Thread Games","Red Thread Games"
"121","Prototype™","https://store.steampowered.com/app/10150/Prototype/?snr=1_1452_1600__104_12","Action"," Open World"," Adventure"," Third Person","32,000 원","32,000 원","0%","Mixed (68)","Very Positive (3,785)","10 Jun, 2009","Radical Entertainment","Radical Entertainment"
"122","Exanima","https://store.steampowered.com/app/362490/Exanima/?snr=1_1452_1600__104_12","Early Access"," RPG"," Physics"," Dark Fantasy","15,000 원","15,000 원","0%","Very Positive (26)","Mostly Positive (3,043)","30 Apr, 2015","Bare Mettle Entertainment","Bare Mettle Entertainment"
"123","Darksiders Warmastered Edition","https://store.steampowered.com/app/462780/Darksiders_Warmastered_Edition/?snr=1_1452_1600__104_12","Action"," Adventure"," Hack and Slash"," RPG","20,000 원","3,000 원","-85%","Very Positive (108)","Very Positive (3,707)","30 Nov, 2016","KAIKO, Vigil Games","KAIKO"
"124","Rocket League®","https://store.steampowered.com/app/252950/Rocket_League/?snr=1_1452_1600__104_12","Multiplayer"," Racing"," Soccer"," Sports","21,000 원","21,000 원","0%","Very Positive (2,009)","Very Positive (164,845)","7 Jul, 2015","Psyonix, Inc.","Psyonix, Inc."
"125","Visage","https://store.steampowered.com/app/594330/Visage/?snr=1_1452_1600__104_12","Early Access"," Horror"," Psychological Horror"," Early Access","26,000 원","26,000 원","0%","No review","Very Positive (738)","2 Oct, 2018","SadSquare Studio","SadSquare Studio"
"126","Slime Rancher","https://store.steampowered.com/app/433340/Slime_Rancher/?snr=1_1452_1600__104_12","Cute"," Exploration"," Adventure"," Colorful","21,000 원","21,000 원","0%","Very Positive (285)","Overwhelmingly Positive (17,808)","2 Aug, 2017","Monomi Park","Monomi Park"
"127","7 Days to Die","https://store.steampowered.com/app/251570/7_Days_to_Die/?snr=1_1452_1600__104_12","Early Access"," Survival"," Zombies"," Open World","26,000 원","26,000 원","0%","Mixed (533)","Mostly Positive (48,819)","14 Dec, 2013","The Fun Pimps","The Fun Pimps"
"128","Little Nightmares","https://store.steampowered.com/app/424840/Little_Nightmares/?snr=1_1452_1600__104_12","Horror"," Adventure"," Atmospheric"," Puzzle-Platformer","25,800 원","25,800 원","0%","Very Positive (187)","Very Positive (5,225)","28 Apr, 2017","Tarsier Studios","Tarsier Studios"
"129","Garry's Mod","https://store.steampowered.com/app/4000/Garrys_Mod/?snr=1_1452_1600__104_12","Sandbox"," Multiplayer"," Funny"," Moddable","10,500 원","10,500 원","0%","Very Positive (2,741)","Overwhelmingly Positive (286,558)","29 Nov, 2006","Facepunch Studios","Facepunch Studios"
"130","Touhou Luna Nights","https://store.steampowered.com/app/851100/Touhou_Luna_Nights/?snr=1_1452_1600__104_12","Early Access"," Metroidvania"," Action"," Indie","13,000 원","13,000 원","0%","Overwhelmingly Positive (279)","Overwhelmingly Positive (1,163)","20 Aug, 2018","Vaka Game Magazine, Team Ladybug","Vaka Game Magazine"
"131","Hero Siege","https://store.steampowered.com/app/269210/Hero_Siege/?snr=1_1452_1600__104_12","RPG"," Rogue-like"," Indie"," Hack and Slash","6,500 원","6,500 원","0%","Mixed (134)","Mostly Positive (13,358)","29 Jan, 2014","Elias Viglione, Jussi Kukkonen","Elias Viglione"
"132","Street Fighter V","https://store.steampowered.com/app/310950/Street_Fighter_V/?snr=1_1452_1600__104_12","Fighting"," Multiplayer"," Competitive"," 2D Fighter","21,000 원","21,000 원","0%","Mixed (205)","Mixed (7,411)","16 Feb, 2016","Capcom","Capcom"
"133","Capcom Beat 'Em Up Bundle / カプコン ベルトアクション コレクション","https://store.steampowered.com/app/885150/Capcom_Beat_Em_Up_Bundle/?snr=1_1452_1600__104_13","Action"," Beat 'em up"," Arcade"," Classic","21,000 원","21,000 원","0%","No review","Very Positive (78)","11 Oct, 2018","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"134","Touhou Luna Nights","https://store.steampowered.com/app/851100/Touhou_Luna_Nights/?snr=1_1452_1600__104_13","Early Access"," Metroidvania"," Action"," Indie","13,000 원","13,000 원","0%","Overwhelmingly Positive (279)","Overwhelmingly Positive (1,163)","20 Aug, 2018","Vaka Game Magazine, Team Ladybug","Vaka Game Magazine"
"135","SPORE™","https://store.steampowered.com/app/17390/SPORE/?snr=1_1452_1600__104_13","Simulation"," Sandbox"," Open World"," Exploration","32,000 원","32,000 원","0%","Very Positive (191)","Very Positive (14,347)","19 Dec, 2008","Maxis™","Maxis™"
"136","Dreamfall Chapters","https://store.steampowered.com/app/237850/Dreamfall_Chapters/?snr=1_1452_1600__104_13","Adventure"," Story Rich"," Female Protagonist"," Atmospheric","26,000 원","8,840 원","-66%","Mostly Positive (27)","Very Positive (2,124)","22 Jul, 2017","Red Thread Games","Red Thread Games"
"137","DOOM","https://store.steampowered.com/app/379720/DOOM/?snr=1_1452_1600__104_13","FPS"," Action"," Gore"," Demons","22,000 원","22,000 원","0%","Very Positive (380)","Very Positive (38,443)","13 May, 2016","id Software","id Software"
"138","The Room Three","https://store.steampowered.com/app/456750/The_Room_Three/?snr=1_1452_1600__104_13","Indie"," Adventure"," Puzzle"," Mystery","6,500 원","6,500 원","0%","No review","Very Positive (119)","13 Nov, 2018","Fireproof Games","Fireproof Games"
"139","Hate Plus","https://store.steampowered.com/app/239700/Hate_Plus/?snr=1_1452_1600__104_13","Visual Novel"," Indie"," Anime"," Sci-fi","10,500 원","10,500 원","0%","No review","Very Positive (425)","20 Aug, 2013","Love Conquers All Games","Love Conquers All Games"
"140","ULTIMATE MARVEL VS. CAPCOM 3","https://store.steampowered.com/app/357190/ULTIMATE_MARVEL_VS_CAPCOM_3/?snr=1_1452_1600__104_13","Fighting"," Action"," 2D Fighter"," Multiplayer","24,000 원","24,000 원","0%","Very Positive (14)","Very Positive (1,327)","7 Mar, 2017","CAPCOM CO., LTD.","CAPCOM CO., LTD."
"141","Fishing: Barents Sea","https://store.steampowered.com/app/501080/Fishing_Barents_Sea/?snr=1_1452_1600__104_13","Simulation"," Fishing"," Open World"," Singleplayer","21,000 원","16,800 원","-20%","Mixed (23)","Mixed (830)","7 Feb, 2018","Misc Games","Misc Games"
"142","太吾?卷 The Scroll Of Taiwu","https://store.steampowered.com/app/838350/_The_Scroll_Of_Taiwu/?snr=1_1452_1600__104_13","Early Access"," RPG"," Strategy"," Sandbox","20,500 원","20,500 원","0%","Very Positive (1,568)","Very Positive (11,609)","21 Sep, 2018","ConchShip Games","ConchShip Games"
"143","Farm Together","https://store.steampowered.com/app/673950/Farm_Together/?snr=1_1452_1600__104_13","Simulation"," Multiplayer"," Agriculture"," Casual","20,500 원","20,500 원","0%","No review","Very Positive (2,223)","12 Oct, 2018","Milkstone Studios","Milkstone Studios"
"144","Out of the Park Baseball 19","https://store.steampowered.com/app/619290/Out_of_the_Park_Baseball_19/?snr=1_1452_1600__104_14","Sports"," Simulation"," Strategy"," Indie","20,500 원","20,500 원","0%","Mostly Positive (41)","Very Positive (363)","22 Mar, 2018","Out of the Park Developments","Out of the Park Developments"
"145","Dreamfall: The Longest Journey","https://store.steampowered.com/app/6300/Dreamfall_The_Longest_Journey/?snr=1_1452_1600__104_14","Adventure"," Female Protagonist"," Story Rich"," Fantasy","21,000 원","6,300 원","-70%","No review","Very Positive (570)","17 Apr, 2006","Funcom","Funcom"
"146","Danganronpa 2: Goodbye Despair","https://store.steampowered.com/app/413420/Danganronpa_2_Goodbye_Despair/?snr=1_1452_1600__104_14","Anime"," Detective"," Visual Novel"," Story Rich","21,000 원","21,000 원","0%","Very Positive (64)","Overwhelmingly Positive (3,921)","19 Apr, 2016","Spike Chunsoft Co., Ltd., Abstraction Games","Spike Chunsoft Co., Ltd."
"147","太吾?卷 The Scroll Of Taiwu","https://store.steampowered.com/app/838350/_The_Scroll_Of_Taiwu/?snr=1_1452_1600__104_14","Early Access"," RPG"," Strategy"," Sandbox","20,500 원","20,500 원","0%","Very Positive (1,568)","Very Positive (11,609)","21 Sep, 2018","ConchShip Games","ConchShip Games"
"148","Farm Together","https://store.steampowered.com/app/673950/Farm_Together/?snr=1_1452_1600__104_14","Simulation"," Multiplayer"," Agriculture"," Casual","20,500 원","20,500 원","0%","No review","Very Positive (2,223)","12 Oct, 2018","Milkstone Studios","Milkstone Studios"
"149","Danganronpa: Trigger Happy Havoc","https://store.steampowered.com/app/413410/Danganronpa_Trigger_Happy_Havoc/?snr=1_1452_1600__104_14","Anime"," Mystery"," Visual Novel"," Detective","21,000 원","21,000 원","0%","Very Positive (73)","Overwhelmingly Positive (4,754)","18 Feb, 2016","Spike Chunsoft Co., Ltd., Abstraction Games","Spike Chunsoft Co., Ltd."
"150","Colony Survival","https://store.steampowered.com/app/366090/Colony_Survival/?snr=1_1452_1600__104_14","Early Access"," Survival"," Base Building"," Building","21,000 원","21,000 원","0%","Very Positive (33)","Very Positive (1,775)","16 Jun, 2017","Pipliz","Pipliz"
"151","Oxygen Not Included","https://store.steampowered.com/app/457140/Oxygen_Not_Included/?snr=1_1452_1600__104_14","Early Access"," Base Building"," Survival"," Resource Management","26,000 원","26,000 원","0%","Very Positive (478)","Very Positive (12,435)","19 May, 2017","Klei Entertainment","Klei Entertainment"
"152","Black Mesa","https://store.steampowered.com/app/362890/Black_Mesa/?snr=1_1452_1600__104_14","Early Access"," FPS"," Remake"," Action","20,500 원","20,500 원","0%","Very Positive (145)","Very Positive (11,715)","5 May, 2015","Crowbar Collective","Crowbar Collective"
"153","Graveyard Keeper","https://store.steampowered.com/app/599140/Graveyard_Keeper/?snr=1_1452_1600__104_14","Pixel Graphics"," Sandbox"," RPG"," Indie","20,500 원","20,500 원","0%","Mostly Positive (224)","Mixed (3,543)","16 Aug, 2018","Lazy Bear Games","Lazy Bear Games"
"154","Troubleshooter","https://store.steampowered.com/app/470310/Troubleshooter/?snr=1_1452_1600__104_15","Early Access"," RPG"," Turn-Based"," Early Access","21,000 원","21,000 원","0%","Very Positive (24)","Very Positive (483)","31 Dec, 2017","Dandylion","Dandylion"
"155","Fallout 3: Game of the Year Edition","https://store.steampowered.com/app/22370/Fallout_3_Game_of_the_Year_Edition/?snr=1_1452_1600__104_15","Open World"," RPG"," Post-apocalyptic"," Singleplayer","21,000 원","21,000 원","0%","Mixed (159)","Mostly Positive (16,779)","13 Oct, 2009","Bethesda Game Studios","Bethesda Game Studios"
"156","Batman: Arkham Asylum Game of the Year Edition","https://store.steampowered.com/app/35140/Batman_Arkham_Asylum_Game_of_the_Year_Edition/?snr=1_1452_1600__104_15","Action"," Batman"," Stealth"," Adventure","21,000 원","21,000 원","0%","Very Positive (129)","Overwhelmingly Positive (11,407)","27 Mar, 2010","Rocksteady Studios, Feral Interactive (Mac)","Rocksteady Studios"
"157","CrossCode","https://store.steampowered.com/app/368340/CrossCode/?snr=1_1452_1600__104_15","Action RPG"," Pixel Graphics"," RPG"," Female Protagonist","21,000 원","21,000 원","0%","Very Positive (303)","Very Positive (3,822)","21 Sep, 2018","Radical Fish Games","Radical Fish Games"
"158","Tales of Symphonia","https://store.steampowered.com/app/372360/Tales_of_Symphonia/?snr=1_1452_1600__104_15","JRPG"," RPG"," Anime"," Story Rich","21,000 원","21,000 원","0%","Mostly Positive (24)","Very Positive (1,872)","2 Feb, 2016","BANDAI NAMCO Entertainment Inc.","BANDAI NAMCO Entertainment Inc."
"159","Princess Maker 3: Fairy Tales Come True","https://store.steampowered.com/app/650110/Princess_Maker_3_Fairy_Tales_Come_True/?snr=1_1452_1600__104_15","Simulation"," Anime"," Classic"," Multiple Endings","21,000 원","21,000 원","0%","No review","Mixed (177)","27 Jun, 2017","CFK Co., Ltd.","CFK Co., Ltd."
"160","Saurian","https://store.steampowered.com/app/587450/Saurian/?snr=1_1452_1600__104_15","Early Access"," Simulation"," Dinosaurs"," Survival","21,000 원","21,000 원","0%","Mixed (17)","Mixed (618)","3 Aug, 2017","Urvogel Games, LLC","Urvogel Games, LLC"
"161","SimCity™ 4 Deluxe Edition","https://store.steampowered.com/app/24780/SimCity_4_Deluxe_Edition/?snr=1_1452_1600__104_15","Simulation"," City Builder"," Strategy"," Management","21,000 원","21,000 원","0%","Mixed (17)","Mostly Positive (3,553)","22 Sep, 2003","EA - Maxis, Aspyr (Mac)","EA - Maxis"
"162","Sins of a Solar Empire: Rebellion®","https://store.steampowered.com/app/204880/Sins_of_a_Solar_Empire_Rebellion/?snr=1_1452_1600__104_15","Strategy"," Space"," RTS"," Sci-fi","41,000 원","10,250 원","-75%","Very Positive (33)","Very Positive (5,782)","13 Jun, 2012","Ironclad Games, Stardock Entertainment","Ironclad Games"
"163","Mirror","https://store.steampowered.com/app/644560/Mirror/?snr=1_1452_1600__104_15","Sexual Content"," Nudity"," Mature"," Anime","2,200 원","2,200 원","0%","Overwhelmingly Positive (589)","Overwhelmingly Positive (15,496)","19 Apr, 2018","KAGAMI WORKs","KAGAMI WORKs"
"164","Touhou Genso Wanderer -Reloaded- / 不可思?的幻想?TOD -RELOADED- / 不思議の幻想?TOD -RELOADED-","https://store.steampowered.com/app/931500/Touhou_Genso_Wanderer_Reloaded__TOD_RELOADED__TOD_RELOADED/?snr=1_1452_1600__104_15","RPG"," Adventure"," Indie"," Faith","29,000 원","29,000 원","0%","No review","Very Positive (370)","26 Oct, 2018","AQUASTYLE","AQUASTYLE"
"165","NARUTO SHIPPUDEN: Ultimate Ninja STORM 2","https://store.steampowered.com/app/543870/NARUTO_SHIPPUDEN_Ultimate_Ninja_STORM_2/?snr=1_1452_1600__104_15","Action"," Adventure"," Strategy"," Anime","19,800 원","19,800 원","0%","No review","Mostly Positive (286)","26 Aug, 2017","CyberConnect2 Co. Ltd.","BANDAI NAMCO Entertainment"
"166","The Sims™ 3","https://store.steampowered.com/app/47890/The_Sims_3/?snr=1_1452_1600__104_15","Simulation"," Character Customization"," Sandbox"," Singleplayer","19,000 원","19,000 원","0%","Mostly Positive (166)","Very Positive (11,630)","2 Jun, 2009","The Sims Studio","The Sims Studio"
"167","Sins of a Solar Empire: Rebellion®","https://store.steampowered.com/app/204880/Sins_of_a_Solar_Empire_Rebellion/?snr=1_1452_1600__104_16","Strategy"," Space"," RTS"," Sci-fi","41,000 원","10,250 원","-75%","Very Positive (33)","Very Positive (5,782)","13 Jun, 2012","Ironclad Games, Stardock Entertainment","Ironclad Games"
"168","For The King","https://store.steampowered.com/app/527230/For_The_King/?snr=1_1452_1600__104_16","RPG"," Turn-Based Combat"," Adventure"," Online Co-Op","20,500 원","20,500 원","0%","Mostly Positive (71)","Very Positive (3,425)","20 Apr, 2018","IronOak Games","IronOak Games"
"169","Mirror","https://store.steampowered.com/app/644560/Mirror/?snr=1_1452_1600__104_16","Sexual Content"," Nudity"," Mature"," Anime","2,200 원","2,200 원","0%","Overwhelmingly Positive (589)","Overwhelmingly Positive (15,496)","19 Apr, 2018","KAGAMI WORKs","KAGAMI WORKs"
"170","Touhou Genso Wanderer -Reloaded- / 不可思?的幻想?TOD -RELOADED- / 不思議の幻想?TOD -RELOADED-","https://store.steampowered.com/app/931500/Touhou_Genso_Wanderer_Reloaded__TOD_RELOADED__TOD_RELOADED/?snr=1_1452_1600__104_16","RPG"," Adventure"," Indie"," Faith","29,000 원","29,000 원","0%","No review","Very Positive (370)","26 Oct, 2018","AQUASTYLE","AQUASTYLE"
"171","NARUTO SHIPPUDEN: Ultimate Ninja STORM 2","https://store.steampowered.com/app/543870/NARUTO_SHIPPUDEN_Ultimate_Ninja_STORM_2/?snr=1_1452_1600__104_16","Action"," Adventure"," Strategy"," Anime","19,800 원","19,800 원","0%","No review","Mostly Positive (286)","26 Aug, 2017","CyberConnect2 Co. Ltd.","BANDAI NAMCO Entertainment"
"172","The Sims™ 3","https://store.steampowered.com/app/47890/The_Sims_3/?snr=1_1452_1600__104_16","Simulation"," Character Customization"," Sandbox"," Singleplayer","19,000 원","19,000 원","0%","Mostly Positive (166)","Very Positive (11,630)","2 Jun, 2009","The Sims Studio","The Sims Studio"
"173","Second Second","https://store.steampowered.com/app/918430/Second_Second/?snr=1_1452_1600__104_16","Strategy"," Card Game"," Turn-Based"," Rogue-like","16,500 원","16,500 원","0%","No review","Mostly Positive (53)","16 Oct, 2018","Sinkhole Studio","Sinkhole Studio"
"174","Rusty Lake: Roots","https://store.steampowered.com/app/532110/Rusty_Lake_Roots/?snr=1_1452_1600__104_16","Puzzle"," Indie"," Adventure"," Psychological Horror","3,300 원","3,300 원","0%","Very Positive (28)","Overwhelmingly Positive (1,564)","20 Oct, 2016","Rusty Lake","Rusty Lake"
"175","THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION","https://store.steampowered.com/app/222420/THE_KING_OF_FIGHTERS_98_ULTIMATE_MATCH_FINAL_EDITION/?snr=1_1452_1600__104_16","Fighting"," Arcade"," Action"," 2D Fighter","16,000 원","16,000 원","0%","No review","Very Positive (801)","16 Dec, 2014","SNK CORPORATION, Code Mystics","SNK CORPORATION"
"176","Project Zomboid","https://store.steampowered.com/app/108600/Project_Zomboid/?snr=1_1452_1600__104_16","Early Access"," Survival"," Zombies"," Open World","16,000 원","16,000 원","0%","Very Positive (177)","Very Positive (13,585)","8 Nov, 2013","The Indie Stone","The Indie Stone"
"177","Trine 3: The Artifacts of Power","https://store.steampowered.com/app/319910/Trine_3_The_Artifacts_of_Power/?snr=1_1452_1600__104_16","Adventure"," Co-op"," Puzzle"," Action","23,000 원","5,750 원","-75%","Mixed (42)","Mixed (3,923)","20 Aug, 2015","Frozenbyte","Frozenbyte"
"178","The Longest Journey","https://store.steampowered.com/app/6310/The_Longest_Journey/?snr=1_1452_1600__104_16","Adventure"," Point & Click"," Female Protagonist"," Story Rich","10,500 원","3,150 원","-70%","Very Positive (12)","Very Positive (999)","17 Nov, 2000","Funcom","Funcom"
"179","SKYHILL","https://store.steampowered.com/app/382140/SKYHILL/?snr=1_1452_1600__104_16","Survival"," RPG"," Adventure"," Indie","140,500 원","14,050 원","-90%","Mixed (19)","Mostly Positive (869)","6 Oct, 2015","Mandragora","Mandragora"
"180","Dreamfall: The Longest Journey","https://store.steampowered.com/app/6300/Dreamfall_The_Longest_Journey/?snr=1_1452_1600__104_17","Adventure"," Female Protagonist"," Story Rich"," Fantasy","21,000 원","6,300 원","-70%","No review","Very Positive (570)","17 Apr, 2006","Funcom","Funcom"
"181","The Banner Saga 3","https://store.steampowered.com/app/485460/The_Banner_Saga_3/?snr=1_1452_1600__104_17","Strategy"," RPG"," Indie"," Turn-Based Tactics","26,260 원","26,260 원","0%","Very Positive (31)","Mostly Positive (428)","27 Jul, 2018","Stoic","Stoic"
"182","THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION","https://store.steampowered.com/app/222420/THE_KING_OF_FIGHTERS_98_ULTIMATE_MATCH_FINAL_EDITION/?snr=1_1452_1600__104_17","Fighting"," Arcade"," Action"," 2D Fighter","16,000 원","16,000 원","0%","No review","Very Positive (801)","16 Dec, 2014","SNK CORPORATION, Code Mystics","SNK CORPORATION"
"183","Party Panic","https://store.steampowered.com/app/506500/Party_Panic/?snr=1_1452_1600__104_17","Casual"," Indie"," Action"," 4 Player Local","17,000 원","17,000 원","0%","Mixed (24)","Mostly Positive (591)","7 Aug, 2017","Everglow Interactive Inc.","Everglow Interactive Inc."
